ts=1385; X_raw=-86; Y_raw=-338; Z_raw=-81; X_acc_der=-86.00; Y_acc_der=-338.00; Z_acc_der=-81.00; X_gyr_der=-117.13; Y_gyr_der=-7.33; Z_gyr_der=32.98;
ts=1491; X_raw=117; Y_raw=-359; Z_raw=-116; X_acc_der=117.00; Y_acc_der=-359.00; Z_acc_der=-116.00; X_gyr_der=-117.25; Y_gyr_der=-7.39; Z_gyr_der=33.56;
ts=1595; X_raw=171; Y_raw=-313; Z_raw=-63; X_acc_der=171.00; Y_acc_der=-313.00; Z_acc_der=-63.00; X_gyr_der=-116.43; Y_gyr_der=-7.45; Z_gyr_der=34.69;
ts=1699; X_raw=16; Y_raw=-416; Z_raw=-113; X_acc_der=16.00; Y_acc_der=-416.00; Z_acc_der=-113.00; X_gyr_der=-116.49; Y_gyr_der=-7.33; Z_gyr_der=35.08;
ts=1803; X_raw=-74; Y_raw=-396; Z_raw=-64; X_acc_der=-74.00; Y_acc_der=-396.00; Z_acc_der=-64.00; X_gyr_der=-117.37; Y_gyr_der=-7.24; Z_gyr_der=34.56;
ts=1907; X_raw=135; Y_raw=-438; Z_raw=-135; X_acc_der=135.00; Y_acc_der=-438.00; Z_acc_der=-135.00; X_gyr_der=-115.39; Y_gyr_der=-7.97; Z_gyr_der=34.17;
ts=2011; X_raw=-35; Y_raw=-373; Z_raw=-86; X_acc_der=-35.00; Y_acc_der=-373.00; Z_acc_der=-86.00; X_gyr_der=-117.47; Y_gyr_der=-7.76; Z_gyr_der=34.75;
ts=2115; X_raw=2; Y_raw=-285; Z_raw=-33; X_acc_der=2.00; Y_acc_der=-285.00; Z_acc_der=-33.00; X_gyr_der=-117.25; Y_gyr_der=-7.91; Z_gyr_der=33.59;
ts=2219; X_raw=132; Y_raw=-433; Z_raw=-118; X_acc_der=132.00; Y_acc_der=-433.00; Z_acc_der=-118.00; X_gyr_der=-116.89; Y_gyr_der=-7.94; Z_gyr_der=32.55;
ts=2323; X_raw=177; Y_raw=-366; Z_raw=-84; X_acc_der=177.00; Y_acc_der=-366.00; Z_acc_der=-84.00; X_gyr_der=-117.56; Y_gyr_der=-7.54; Z_gyr_der=34.26;
ts=2427; X_raw=-107; Y_raw=-286; Z_raw=-21; X_acc_der=-107.00; Y_acc_der=-286.00; Z_acc_der=-21.00; X_gyr_der=-116.89; Y_gyr_der=-7.76; Z_gyr_der=34.17;
ts=2531; X_raw=101; Y_raw=-424; Z_raw=-126; X_acc_der=101.00; Y_acc_der=-424.00; Z_acc_der=-126.00; X_gyr_der=-117.10; Y_gyr_der=-7.33; Z_gyr_der=33.65;
ts=2635; X_raw=208; Y_raw=-389; Z_raw=-77; X_acc_der=208.00; Y_acc_der=-389.00; Z_acc_der=-77.00; X_gyr_der=-117.98; Y_gyr_der=-6.41; Z_gyr_der=34.87;
ts=2739; X_raw=-259; Y_raw=-344; Z_raw=-81; X_acc_der=-259.00; Y_acc_der=-344.00; Z_acc_der=-81.00; X_gyr_der=-117.83; Y_gyr_der=-7.02; Z_gyr_der=34.11;
ts=2843; X_raw=-213; Y_raw=-387; Z_raw=-42; X_acc_der=-213.00; Y_acc_der=-387.00; Z_acc_der=-42.00; X_gyr_der=-116.61; Y_gyr_der=-6.96; Z_gyr_der=33.10;
ts=2947; X_raw=428; Y_raw=-411; Z_raw=-124; X_acc_der=428.00; Y_acc_der=-411.00; Z_acc_der=-124.00; X_gyr_der=-117.07; Y_gyr_der=-7.27; Z_gyr_der=34.23;
ts=3051; X_raw=65; Y_raw=-379; Z_raw=-91; X_acc_der=65.00; Y_acc_der=-379.00; Z_acc_der=-91.00; X_gyr_der=-118.08; Y_gyr_der=-7.51; Z_gyr_der=33.95;
ts=3155; X_raw=-80; Y_raw=-377; Z_raw=-124; X_acc_der=-80.00; Y_acc_der=-377.00; Z_acc_der=-124.00; X_gyr_der=-117.71; Y_gyr_der=-7.05; Z_gyr_der=32.98;
ts=3259; X_raw=185; Y_raw=-359; Z_raw=-104; X_acc_der=185.00; Y_acc_der=-359.00; Z_acc_der=-104.00; X_gyr_der=-117.01; Y_gyr_der=-7.27; Z_gyr_der=33.95;
